ID_Municipio,Municipio,Sección Electoral,Población Aprox.,Promotores Ambientales,Fiscalización 3ra Categoría,GIRSU y Residuos,Áreas Protegidas y Arbolado,Otras Acciones Ambientales,Fuentes Oficiales,,,,,,,,,
MUN-BA-014,Rojas,Segunda,27000,Articulación con programas de capacitación del Ministerio de Ambiente PBA y la UNSAM para agentes de gestión de residuos. Promotores ambientales escolares y campañas en medios locales para fomentar la separación en origen de plásticos,papel y vidrio.,Fiscalización de 3ra categoría exclusiva del Ministerio de Ambiente provincial. Reactivación y regularización del Parque Industrial de Rojas (SIP) que nuclea industrias semilleras de alta tecnología (Monsanto/Bayer,Syngenta,acopios),metalmecánica y químicas. El municipio gestiona habilitaciones de 1ra y 2da categoría y supervisa la seguridad ambiental del parque.,Planta de Separación de RSU y tratamiento de secos. Plan integral para regularizar la operatividad del predio de disposición final y saneamiento de focos de basurales a cielo abierto históricos en articulación con el gobierno provincial. Puntos Verdes barriales.,Preservación del área ribereña del Río Rojas y Paseo de la Ribera. Ordenanza de Arbolado Urbano con planes de poda regulada y reposición de arbolado de alineación en avenidas principales.,Ordenanza de aplicación de fitosanitarios con distancias de restricción y fiscalización agronómica. Instalación y operación de Centro de Acopio Transitorio (CAT) para envases vacíos de agroquímicos en articulación con CampoLimpio y Ambiente PBA.,https://rojas.gov.ar ; https://hoyrojas.com.ar,,,,,
MUN-BA-015,San Andrés de Giles,Segunda,27000,Dirección de Ambiente cuenta con promotores ambientales que desarrollan campañas de concientización barrial,ecocanjes ('Botellas de Amor',secos por plantines) y talleres en escuelas primarias y secundarias del distrito y localidades vecinas (Solís,Cucullu,Villa Ruiz).,Control de 3ra categoría ejercido por el Ministerio de Ambiente de la PBA. El distrito cuenta con un Sector Industrial Planificado (SIP) y radicaciones fabriles de alimentos,chacinados,avícolas,molinos y autopartes. Monitoreo municipal coordinado para industrias de 1ra y 2da categoría y vertido de efluentes.,Planta Municipal de Tratamiento de RSU con cinta de clasificación y prensas de reciclado. Programa de recolección diferenciada de residuos secos e instalación de Puntos Limpios en plazas. Plan de contingencia y avance hacia el cierre y saneamiento del basural a cielo abierto.,Preservación de las cuencas de los Arroyos Giles y Cañada de la Cruz. Programa 'Plantando Futuro' de arbolado público y reforestación con especies autóctonas en el Parque Municipal y espacios públicos comunitarios.,Ordenanza municipal de fitosanitarios y agroquímicos con zonificación de amortiguamiento periurbano. Proyectos de compostaje traspatio e institucional en articulación con el INTA. Programa municipal de recolección de AVU y residuos electrónicos.,https://sanandresdegiles.gob.ar/?q=direccion-ambiente ; https://www.ambiente.gba.gob.ar,,
MUN-BA-016,Carmen de Areco,Segunda,18000,Dirección de Ambiente articula con el Ministerio de Ambiente PBA jornadas del programa 'Industrias Bonaerenses Sustentables' y promotores ambientales juveniles en escuelas y clubes. Campañas comunitarias para separación domiciliaria y ecocanje de reciclables.,Supervisión de establecimientos de 3ra categoría a cargo de la cartera ambiental provincial. El distrito cuenta con Parque Industrial Municipal con empresas agroindustriales,secaderos de granos,chacinados,frigoríficos y metalúrgica. El municipio gestiona inspecciones de 1ra y 2da categoría y supervisa la correcta gestión de efluentes líquidos y residuos especiales.,Incorporación de nuevos contenedores de RSU y puesta en marcha del sistema de recolección selectiva. Planta de Tratamiento y Recuperación de Residuos Sólidos Urbanos. Planes de remediación de pasivos ambientales y saneamiento del basural municipal a cielo abierto.,Complejo Balneario y Camping Municipal sobre el Río Areco (área de conservación natural,esparcimiento y reserva de flora riparia). Censo y plan de reforestación del arbolado público urbano con plantación de nativas en avenidas y accesos.,Sensores de monitoreo de calidad de aire instalados junto a Ambiente PBA. Ordenanza local reguladora de aplicación terrestre de fitosanitarios y agroquímicos con control de franjas de protección periurbana y centros educativos rurales. Gestión de RAEEs y AVU.,https://carmendeareco.gob.ar/ambiente/ ; https://carmendeareco.gob.ar/parque-industrial/,,,,,
MUN-BA-017,Capitán Sarmiento,Segunda,17000,Acciones de educación ambiental impulsadas por el municipio a través de redes y centros comunitarios. Programas de concientización sobre reducción de residuos y reciclaje en articulación con el sistema educativo local.,Control de 3ra categoría a cargo del Ministerio de Ambiente PBA (Ley 11.459). Alta trascendencia industrial por la radicación del mega complejo frigorífico avícola Granja Tres Arroyos (Planta Cahuané),industria de 3ra categoría que emplea a gran parte de la población pero genera desafíos de control sobre efluentes y olores. Intervenciones conjuntas de fiscalización provincial-municipal sobre la cuenca del Arroyo Cahuané.,Planta municipal de separación y reciclaje de RSU. Campañas de recolección de materiales reciclables secos y Puntos Verdes. Esfuerzos para el ordenamiento y remediación progresiva del vertedero a cielo abierto local.,Cuenca del Arroyo Cahuané y Balneario Municipal (espacio verde de recreación y preservación biológica). Plan de mantenimiento y reforestación de arbolado urbano público con enfoque en especies resistentes.,Convenios y mesas de trabajo ambiental con empresas avícolas y agropecuarias para la modernización de plantas de tratamiento de efluentes industriales. Ordenanza sobre distancias de fumigación y control de agroquímicos en campos colindantes al ejido urbano.,https://capitansarmiento.gob.ar ; https://infoalimentacion.com.ar,,,,,,,,
MUN-BA-003,Magdalena,Tercera,20000,Promotores ambientales municipales y guardaparques que coordinan charlas de educación ecológica,avistaje de flora/fauna nativa y preservación costera en escuelas del distrito (Magdalena,Bavio,Atalaya,Vieytes) y centros de información turística.,Competencia de 3ra categoría a cargo del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459). Predominio de actividad agropecuaria,tambera,láctea y minera no metalífera (canteras de conchilla y arena). El municipio supervisa canteras,establecimientos de 1ra y 2da categoría y el impacto costero-ambiental.,Planta de Tratamiento y Separación de RSU en Magdalena. Recolección de secos y puntos de acopio en delegaciones y playas. Programa de recolección diferenciada para evitar la contaminación de las zonas de biosfera y costas del Río de la Plata. Plan de saneamiento de basurales locales.,"Área de valor de conservación internacional: Forma parte de la Reserva de Biósfera 'Parque Costero del Sur' (declarada por la UNESCO - Programa MAB en 1985), que protege talares, coronillos, pastizales pampeanos y humedales rioplatenses. Reserva Natural Privada 'El Destino' (2.500 hectáreas protegidas). Plan de conservación del bosque nativo de tala y arbolado público.",Políticas de ecoturismo sustentable y conservación estricta de biodiversidad en el litoral rioplatense. Ordenanza de regulación del uso de agroquímicos con resguardo de zonas de amortiguamiento de la reserva de biosfera. Programas de protección de especies autóctonas (mariposa bandera argentina y venado de las pampas).,https://turismomagdalena.gob.ar ; https://reservasprivadas.org.ar/el-destino/ ; https://es.wikipedia.org/wiki/Parque_Costero_del_Sur,,
MUN-BA-018,Lobos,Tercera,43000,Dirección de Medio Ambiente municipal impulsa promotores ambientales para la concientización vecinal en la separación de residuos,jornadas de 'Lobos Limpio' y actividades educativas en la Laguna de Lobos y Villa Logüercio.,Fiscalización de industrias de 3ra categoría dependiente del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459). Parque Industrial de Lobos e industrias radicadas en el corredor de la RN 205 (lácteas,metalmecánica,frigoríficos,agroquímica). El municipio efectúa controles de habilitación,ruidos molestos y vertidos para establecimientos de menor complejidad.,Planta de Tratamiento y Clasificación de RSU de Lobos. Red de campanas y Puntos Verdes para recolección de plástico,vidrio,cartón y latas. Programas específicos de retiro de RAEEs,pilas y AVU. Avances en el ordenamiento y mitigación ambiental del vertedero municipal.,Humedal y Cuenca de la Laguna de Lobos (cuerpo de agua clave para la biodiversidad de avifauna acuática y fauna ictícola pampeana,de alto interés ecoturístico). Parque Municipal Ingeniero Hiriart (pulmón verde urbano). Ordenanza de Arbolado Público con planes anuales de forestación urbana.,Comité de Cuenca y monitoreo del estado trófico de la Laguna de Lobos para prevenir eventos de eutrofización y floraciones algales. Ordenanza regulatoria de aplicación de fitosanitarios con zonas de exclusión respecto al casco urbano y la laguna. Promoción del turismo rural sostenible.,https://www.lobos.gob.ar ; https://es.wikipedia.org/wiki/Laguna_de_Lobos
MUN-BA-019,Brandsen,Tercera,33000,Dirección de Ambiente coordina talleres de concientización en escuelas y centros barriales en el marco de la declaración de Brandsen como 'Municipio Ambiental' (Ordenanza HCD 1237/2007). Campañas de promoción del reciclaje con cooperativas locales y eventos comunitarios.,Control de 3ra categoría bajo jurisdicción exclusiva del Ministerio de Ambiente PBA (Ley 11.459). Núcleo agroindustrial e industrial relevante (complejo avícola y ovoproductos Ovobrand,fábricas de plásticos,agroquímicos,autopartes en Ruta 2 / RP 215). Fiscalización ambiental local centrada en 1ra y 2da categoría,olores y efluentes agropecuarios.,Planta Municipal de Reciclado y Tratamiento de Residuos Sólidos Urbanos. Incorporación de camiones para recolección diferenciada provistos por el Ministerio de Ambiente PBA y colocación de contenedores en delegaciones (Jeppener,Gómez,Altamirano,Samborombón). Planes de erradicación de basurales a cielo abierto.,Cuenca del Río Samborombón y humedales asociados. Bosque nativo de talares relictuales y arbolado público regulado por normativa local de poda y preservación forestal.,Ordenanza de regulación y control de la aplicación de productos fitosanitarios y agroquímicos periurbanos. Saneamiento de cuencas hídricas y campañas de gestión de envases de agroquímicos.,https://www.brandsen.gob.ar ; https://hcdbrandsen.gob.ar,,
MUN-BA-020,Punta Indio,Tercera,13000,Cuerpo municipal de promotores ambientales y guardaparques comunitarios muy activos en Verónica y Pipinas. Programas permanentes de educación ambiental y ecoturismo,voluntariado de preservación costera y talleres de reciclado y compostaje domiciliario.,Fiscalización de 3ra categoría a cargo del Ministerio de Ambiente PBA (Ley 11.459). Perfil netamente conservacionista,ganadero extensivo y turístico; sin industrias pesadas de 3ra categoría. Municipio fiscaliza cooperativas locales,servicios y canteras de conchilla de 1ra y 2da categoría.,Planta de Separación y Tratamiento de RSU 'Punta Indio Recicla'. Sistema modelo de recolección diferenciada domiciliaria y red de Puntos Limpios en Pipinas,Verónica y Punta del Indio. Programas de compostaje vecinal y reducción de residuos en zona de reserva.,"Valor ambiental superlativo: Núcleo central de la Reserva de Biósfera 'Parque Costero del Sur' (UNESCO 1985), que preserva los talares y coronillares de barranca, pastizal pampeano y costas del Río de la Plata. Hábitat de la Mariposa Bandera Argentina (declarada Monumento Natural local y provincial) y el Venado de las Pampas. Plan estricto de arbolado y protección del bosque nativo.",Ordenanza modelo de prohibición total de aplicación aérea de fitosanitarios y severas restricciones terrestres en resguardo de la biosfera y las escuelas rurales. Proyectos de energía comunitaria y turismo de naturaleza sustentable.,https://puntaindio.gob.ar ; https://es.wikipedia.org/wiki/Parque_Costero_del_Sur,,,,,
MUN-BA-021,Chivilcoy,Cuarta,70000,"Programa 'Chivilcoy Sustentable' coordinado por la Dirección de Medio Ambiente y articulación público-privada con la empresa RSU Ambiental ('Contigo'). Cuenta con promotores ambientales comunitarios que realizan concientización puerta a puerta en barrios y comercios sobre separación en origen, además de talleres de educación ambiental en escuelas técnicas y primarias.","Parque Industrial Chivilcoy de 84 hectáreas con más de 65 industrias radicadas (sectores metalúrgico, químico, plásticos, alimentos balanceados y puerto seco/aduana). El control y la fiscalización de industrias de 3ra categoría (alta complejidad ambiental) están a cargo exclusivo del Ministerio de Ambiente de la PBA bajo la Ley 11.459 y Dto. 531/19. El Municipio interviene en categorizaciones 1 y 2, zonificación y fiscalización conjunta en el Sector Industrial Planificado de Moquehua.",Esquema de gestión con recolección diferenciada en grandes generadores comerciales e industriales a través del polo de acopio y separación en el Parque Industrial. Red de puntos limpios en la planta urbana y plan integral de saneamiento del basural municipal a cielo abierto hacia un centro de valorización de residuos.,"Parque Municipal Alejandro Martija (reserva natural y recreativa comunitaria de flora y fauna), cuenca del Río Salado y arroyos locales. Plan de arbolado urbano con censo forestal, podas programadas y reposición con especies nativas bonaerenses.",Nodo de recolección y Centro de Almacenamiento Transitorio (CAT) de envases vacíos de fitosanitarios articulado con CampoLimpio. Desarrollo de proyectos de economía circular en plásticos y bioplásticos compostables a base de almidones vegetales.,https://chivilcoy.gov.ar/ ; https://parqueindustrialchivilcoy.com.ar/ ; https://rsuambiental.com.ar/ ; https://www.ambiente.gba.gob.ar/,,,,,,,,,
MUN-BA-022,Chacabuco,Cuarta,54000,Dirección de Protección Ambiental municipal con el programa 'Chacabuco Verde'. Formación y despliegue de promotores ambientales barriales e integración socioambiental con la Cooperativa de Recicladores Chacabuco Verde para la recuperación inclusiva de residuos secos.,"Parque Industrial Chacabuco con importante presencia del sector agroindustrial (molienda húmeda/seca de maíz como Ingredion, químicas y semilleras). La fiscalización de establecimientos de 3ra categoría depende del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459); el municipio ejerce inspección preventiva en 1ra y 2da categoría y control de vertidos efluentes a la red.",Puesta en funcionamiento del Centro de Reciclado Urbano y Planta de Tratamiento de RSU (habilitada como Destino Sustentable provincial). Plan activo para el saneamiento progresivo del basural a cielo abierto con despacho regular de toneladas de materiales reciclables (plástico,cartón,vidrio y metales) a la industria transformadora.,Parque Recreativo Municipal y Reserva Natural Laguna de Rocha (humedal clave para la biodiversidad regional). Plan regulatorio del arbolado público urbano y jornadas de plantación de árboles nativos.,"Centro de Almacenamiento Transitorio (CAT) de envases de fitosanitarios sobre RN 7 (Km 205,5) con CampoLimpio, campañas de recolección de RAEEs y ordenanza de regulación de aplicaciones agronómicas periurbanas.",https://chacabuco.gob.ar/ ; https://www.ambiente.gba.gob.ar/ ; https://chacabucoenred.com/,,,,,,,
